Slope,Section ,Taxa.Order,Abundance,,,,,,,,
A,HeathlandA,Hemiptera,2,,,,,,,,
A,HeathlandA,Diptera,1,,,,,,,,
A,HeathlandA,Hymenoptera,4,,,,,,,,
A,HeathlandA,Hemiptera,1,,,,,,,,
A,HeathlandA,Hymenoptera,2,,,,,,,,
A,HeathlandA,Hemiptera,1,,,,,,,,
A,HeathlandA,Hymenoptera,1,,,,,,,,
A,HeathlandA,Hymenoptera,9,,,,,,,,
A,HeathlandA,Hemiptera,6,,,,,,,,
A,GrasslandA,Hymenoptera,4,,,,,,,,
A,GrasslandA,Ixodida,20,,,,,,,,
A,GrasslandA,Diptera,4,,,,,,,,
A,GrasslandA,Hymenoptera,20,,,,,,,,
A,GrasslandA,Araneae,1,,,,,,,,
A,GrasslandA,Hymenoptera,2,,,,,,,,
A,GrasslandA,Hemiptera,1,,,,,,,,
A,BrackenA,Araneae,1,,,,,,,,
A,BrackenA,Araneae,2,,,,,,,,
A,BrackenA,Dermaptera,1,,,,,,,,
A,BrackenA,Hymenoptera,4,,,,,,,,
A,BrackenA,Diptera,1,,,,,,,,
A,BrackenA,Hemiptera,1,,,,,,,,
A,BrackenA,Hymenoptera,4,,,,,,,,
A,BrackenA,Hymenoptera,4,,,,,,,,
A,BrackenA,Diptera,1,,,,,,,,
A,BrackenA,Hemiptera,1,,,,,,,,
B,HeathlandB,Ixodida,9,,,,,,,,
B,HeathlandB,Araneae,1,,,,,,,,
B,HeathlandB,Diptera,1,,,,,,,,
B,HeathlandB,Hemiptera,1,,,,,,,,
B,HeathlandB,Araneae,1,,,,,,,,
B,HeathlandB,Araneae,2,,,,,,,,
B,HeathlandB,Araneae,1,,,,,,,,
B,HeathlandB,Hemiptera,5,,,,,,,,
B,HeathlandB,Araneae,1,,,,,,,,
B,HeathlandB,Hemiptera,4,,,,,,,,
B,HeathlandB,Hemiptera,1,,,,,,,,
B,HeathlandB,Diptera,1,,,,,,,,
B,HeathlandB,Hemiptera,4,,,,,,,,
B,HeathlandB,Araneae,7,,,,,,,,
B,HeathlandB,Ixodida,12,,,,,,,,
B,HeathlandB,Hymenoptera,1,,,,,,,,
B,HeathlandB,Araneae,1,,,,,,,,
B,HeathlandB,Araneae,2,,,,,,,,
B,HeathlandB,Hemiptera,1,,,,,,,,
B,HeathlandB,Araneae,5,,,,,,,,
B,HeathlandB,Lepidoptera,1,,,,,,,,
B,HeathlandB,Hemiptera,3,,,,,,,,
B,HeathlandB,Hemiptera,4,,,,,,,,
B,HeathlandB,Ixodida,6,,,,,,,,
B,HeathlandB,Diptera,4,,,,,,,,
B,HeathlandB,Hymenoptera,1,,,,,,,,
B,HeathlandB,Diptera,1,,,,,,,,
B,HeathlandB,Diptera,1,,,,,,,,
B,HeathlandB,Hemiptera,1,,,,,,,,
B,GrasslandB,Hemiptera,4,,,,,,,,
B,GrasslandB,Araneae,1,,,,,,,,
B,GrasslandB,Araneae,3,,,,,,,,
B,GrasslandB,Hemiptera,3,,,,,,,,
B,GrasslandB,Ixodida,4,,,,,,,,
B,GrasslandB,Diptera,1,,,,,,,,
B,GrasslandB,Hemiptera,5,,,,,,,,
B,GrasslandB,Araneae,2,,,,,,,,
B,GrasslandB,Araneae,3,,,,,,,,
B,GrasslandB,Diptera,1,,,,,,,,
B,GrasslandB,Diptera,1,,,,,,,,
B,BrackenB,Hemiptera,4,,,,,,,,
B,BrackenB,Ixodida,3,,,,,,,,
B,BrackenB,Araneae,4,,,,,,,,
B,BrackenB,Diptera,1,,,,,,,,
B,GrasslandB,Hemiptera,1,,,,,,,,
B,GrasslandB,Hemiptera,5,,,,,,,,
B,GrasslandB,Ixodida,3,,,,,,,,
B,GrasslandB,Hemiptera,3,,,,,,,,
B,GrasslandB,Siphonaptera,1,,,,,,,,
B,GrasslandB,Lepidoptera,2,,,,,,,,
B,GrasslandB,Araneae,2,,,,,,,,
B,GrasslandB,Diptera,1,,,,,,,,
B,GrasslandB,Araneae,1,,,,,,,,
B,BrackenB,Hemiptera,1,,,,,,,,
B,BrackenB,Ixodida,30,,,,,,,,
B,BrackenB,Araneae,1,,,,,,,,
B,BrackenB,Araneae,3,,,,,,,,
B,BrackenB,Hymenoptera,1,,,,,,,,
B,BrackenB,Trombidiformes,1,,,,,,,,
B,BrackenB,Diptera,1,,,,,,,,
B,BrackenB,Siphonaptera,1,,,,,,,,
B,BrackenB,Lepidoptera,1,,,,,,,,
B,BrackenB,Araneae,1,,,,,,,,
B,GrasslandB,Araneae,1,,,,,,,,
B,GrasslandB,Hemiptera,3,,,,,,,,
B,GrasslandB,Siphonaptera,1,,,,,,,,
B,GrasslandB,Ixodida,3,,,,,,,,
B,GrasslandB,Araneae,1,,,,,,,,
B,GrasslandB,Opiliones,1,,,,,,,,
B,GrasslandB,Diptera,4,,,,,,,,
B,GrasslandB,Hemiptera,2,,,,,,,,
B,GrasslandB,Hemiptera,1,,,,,,,,
B,BrackenB,Ixodida,8,,,,,,,,
B,BrackenB,Araneae,5,,,,,,,,
B,BrackenB,Hemiptera,1,,,,,,,,
B,BrackenB,Diptera,1,,,,,,,,
B,BrackenB,Hemiptera,1,,,,,,,,
B,BrackenB,Lepidoptera,1,,,,,,,,
